id,category,brandName,name,price,rating
0,Appliances_Appliances Bundles_Kitchen Suites,Frigidaire,"Frigidaire White FFHT1835VW 30"" Refrig. GBS30DEKWW 30"" Gas Range FFID2426TW 24"" WMH31017HW 30""",$1989.99,0
1,Appliances_Appliances Bundles_Kitchen Suites,Cosmo,Cosmo 3 Pc Kitchen Package COS-EPGR304 30 Gas Range COS-668AS750 30 Range Hood COS-24BIWCS 24  Wine Cooler in Stainless Steel,$2909.99,0
2,Appliances_Appliances Bundles_Kitchen Suites,Cosmo,Cosmo 3 Pc  Stainless Steel Kitchen Package COS-EPGR304 30 Freestanding Gas Range COS-668A750 30 Range Hood COS-DIS6502 24 Dishwasher,$2669.99,0
3,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 3 Pc Kitchen Package SJG2351FS36 Refrigerator FGR366BSS36 Gas Range SDW6757ES24in Stainless Steel,$3379.99,0
4,Appliances_Appliances Bundles_Kitchen Suites,Summit,Summit 2-Piece Kitchen Package with PRO24G 24 Slide-in Gas Range and HMV1472BHS 24 Over the Range Microwave Oven in Stainless St,$1789.99,0
5,Appliances_Appliances Bundles_Kitchen Suites,Cosmo,Cosmo 2 Pc Kitchen Package COS-305AERC 30 Freestanding Electric Range COS-QS75 30 Under Cabinet Range Hood in Stainless Steel,$2299.99,0
6,Appliances_Appliances Bundles_Kitchen Suites,Cosmo,Cosmo 2 Pc Kitchen Package F965 36 Freestanding Dual Fuel Range COS-QB90 36 Under Cabinet Range Hood in Stainless Steel,$2199.99,0
7,Appliances_Appliances Bundles_Kitchen Suites,Cosmo,Cosmo 3 Pc Stainless Steel Kitchen Package COS-EPGR366 36 Freestanding Gas Range COS-668A900 36 Range Hood COS-24BIWCS 24  Wine Cooler,$3929.99,0
8,Appliances_Washer and Dryer Sets_Washer and Dryer Bundles,Mixed Brands,Mixed Brands White Compact Smart Laundry Pair WAW285H1UC 24 Washer WTW87NH1UC 24 Electric Heat Pump Dryer,$3135.99,0
9,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2351FS36 Refrigerator SDW6757ES24 Dwash FGR366BSS36 Gas Range KB6524PSY24 Microwave Drawer,$4259.99,0
10,Appliances_Appliances Bundles_Floor Care Bundles,Homitt,Homitt Cordless Power Scrubber Electric with 3 Cleaning Brush Heads,$49.99,0
11,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2254FS36 Refrig. SDW6757ES24 Dwash FGR366BSS36 Gas Range SMD2470ASY24 Microwave in Stainless Steel,$4799.99,0
12,Appliances_Appliances Bundles_Kitchen Suites,Thor Kitchen,Thor Kitchen 4-Pc Stainless Steel Kitchen Package HRF3601F36 Refrigerator HRG3617U36 Gas Range HDW2401SS24HRH3604U36 Range Hood,$9435.99,0
13,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2254FS36 Refrig. SDW6757ES24 Dwash FGR488BSS48 Gas Range SMD2470ASY24 Microwave in Stainless Steel,$5459.99,0
14,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2351FS 36 Refrig. KB6524PSY 24 Micro Draw FGR304BSS 30 Gas Range LUCCA30 30 Hood in Stainless Steel,$4789.99,0
15,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2351FS36 Refrigerator SDW6757ES24 Dwash FGR488BSS48 Gas Range KB6524PSY24 Microwave Drawer,$4929.99,0
16,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2351FS36 Refrigerator SDW6757ES24 Dwash FGR366BSS36 Gas Range SMD2470ASY24 Microwave Drawer,$5049.99,0
17,Appliances_Appliances Bundles_Kitchen Suites,Mixed Brands,Mixed Brands 4 Pc Kitchen Package SJG2351FS36 Refrigerator SDW6757ES24 Dwash FGR488BSS48 Gas Range SMD2470ASY24 Microwave Drawer,$5049.99,0
18,Appliances_Appliances Bundles_Kitchen Suites,Ginsu,"Ginsu Kiso Dishwasher Safe Black 18 Piece Set Block, 10"" W x 15"" H x 7"" D",$101.31,0
19,Appliances_Appliances Bundles_Kitchen Suites,Forte,Forte 2 Piece Kitchen Appliances Package with FGRT304 30 Natural Gas Rangetop and F2413MV5SS 24 Over the Range Microwave in Stai,$1179.99,0
